"type","name","age","year","timingstart","timingend","value","unit","family"
"landings","fleet1",NA,1,0,1,161.020941559299,"mt","ilnorm(CV=0.005)"
"landings","fleet1",NA,2,0,1,462.670434810534,"mt","ilnorm(CV=0.005)"
"landings","fleet1",NA,3,0,1,752.589311222973,"mt","ilnorm(CV=0.005)"
"landings","fleet1",NA,4,0,1,990.471886953531,"mt","ilnorm(CV=0.005)"
"landings","fleet1",NA,5,0,1,767.567965737163,"mt","ilnorm(CV=0.005)"
"landings","fleet1",NA,6,0,1,1342.67597442853,"mt","ilnorm(CV=0.005)"
"landings","fleet1",NA,7,0,1,1320.4303450115,"mt","ilnorm(CV=0.005)"
"landings","fleet1",NA,8,0,1,2621.76673040247,"mt","ilnorm(CV=0.005)"
"landings","fleet1",NA,9,0,1,1424.29830882495,"mt","ilnorm(CV=0.005)"
"landings","fleet1",NA,10,0,1,1655.43385813256,"mt","ilnorm(CV=0.005)"
"landings","fleet1",NA,11,0,1,1762.78486546171,"mt","ilnorm(CV=0.005)"
"landings","fleet1",NA,12,0,1,1753.71536907223,"mt","ilnorm(CV=0.005)"
"landings","fleet1",NA,13,0,1,1197.6424282008,"mt","ilnorm(CV=0.005)"
"landings","fleet1",NA,14,0,1,1635.59583852261,"mt","ilnorm(CV=0.005)"
"landings","fleet1",NA,15,0,1,1596.60869847998,"mt","ilnorm(CV=0.005)"
"landings","fleet1",NA,16,0,1,1336.57006751887,"mt","ilnorm(CV=0.005)"
"landings","fleet1",NA,17,0,1,2352.99834423815,"mt","ilnorm(CV=0.005)"
"landings","fleet1",NA,18,0,1,1691.97373007823,"mt","ilnorm(CV=0.005)"
"landings","fleet1",NA,19,0,1,1526.30700714523,"mt","ilnorm(CV=0.005)"
"landings","fleet1",NA,20,0,1,1356.17069175021,"mt","ilnorm(CV=0.005)"
"landings","fleet1",NA,21,0,1,1639.34559388215,"mt","ilnorm(CV=0.005)"
"landings","fleet1",NA,22,0,1,1077.07564170926,"mt","ilnorm(CV=0.005)"
