"source_file","line_start","line_end","source_kind","module","entity","entity_type","enclosing_class","r_visible_name","equation","display_name"
"inst/include/population_dynamics/selectivity/functors/age_specific.hpp",18,47,"C++ source comment","Selectivity","AgeSpecificSelectivity","struct",NA,"AgeSpecificSelectivity","s_a = \frac{1}{1 + \exp(-logit\_sel\_at\_age)}","AgeSpecificSelectivity"
"inst/include/population_dynamics/recruitment/functors/sr_beverton_holt.hpp",42,48,"C++ source comment","Recruitment","evaluate_mean","function","SRBevertonHolt","BevertonHoltRecruitment","\frac{0.8 R_{0} h S_{t-1}}{0.2 R_{0} \phi_{0} (1 - h) + S_{t-1} (h - 0.2)}","BevertonHoltRecruitment"
"inst/include/models/functors/catch_at_age.hpp",270,281,"C++ source comment","Model","CalculateInitialNumbersAA","function","CatchAtAge",NA,"N_{a,0} = \exp(\log N_{a,0})","CatchAtAge"
"inst/include/models/functors/catch_at_age.hpp",292,313,"C++ source comment","Model","CalculateNumbersAA","function","CatchAtAge",NA,"N_{A,y} = N_{A-1,y-1} \exp(-Z_{A-1,y-1}) + N_{A,y-1} \exp(-Z_{A,y-1})","CatchAtAge"
"inst/include/models/functors/catch_at_age.hpp",292,313,"C++ source comment","Model","CalculateNumbersAA","function","CatchAtAge",NA,"N_{a,y} = N_{a-1,y-1} \exp(-Z_{a-1,y-1})","CatchAtAge"
"inst/include/models/functors/catch_at_age.hpp",335,356,"C++ source comment","Model","CalculateUnfishedNumbersAA","function","CatchAtAge",NA,"N^U_{A,y} = N^U_{A-1,y-1} \exp(-M_{A-1,y-1}) + N^U_{A,y-1} \exp(-M_{A,y-1})","CatchAtAge"
"inst/include/models/functors/catch_at_age.hpp",335,356,"C++ source comment","Model","CalculateUnfishedNumbersAA","function","CatchAtAge",NA,"N^U_{a,y} = N^U_{a-1,y-1} \exp(-M_{a-1,y-1})","CatchAtAge"
"inst/include/models/functors/catch_at_age.hpp",377,407,"C++ source comment","Model","CalculateMortality","function","CatchAtAge",NA,"F_{a,y} = \sum_{f=1}^{N_{fleets}} F_{f,a,y}","CatchAtAge"
"inst/include/models/functors/catch_at_age.hpp",377,407,"C++ source comment","Model","CalculateMortality","function","CatchAtAge",NA,"F_{f,a,y} = F_{f,y} \times f_y \times S_f(a)","CatchAtAge"
"inst/include/models/functors/catch_at_age.hpp",377,407,"C++ source comment","Model","CalculateMortality","function","CatchAtAge",NA,"Z_{a,y} = M_{a,y} + F_{a,y}","CatchAtAge"
"inst/include/models/functors/catch_at_age.hpp",431,444,"C++ source comment","Model","CalculateBiomass","function","CatchAtAge",NA,"B_y \mathrel{+}= N_{a,y} \times w_a","CatchAtAge"
"inst/include/models/functors/catch_at_age.hpp",455,468,"C++ source comment","Model","CalculateUnfishedBiomass","function","CatchAtAge",NA,"B^U_y \mathrel{+}= N^U_{a,y} \times w_a","CatchAtAge"
"inst/include/models/functors/catch_at_age.hpp",480,495,"C++ source comment","Model","CalculateSpawningBiomass","function","CatchAtAge",NA,"SB_y \mathrel{+}= N_{a,y} \times w_a \times p_{female,a} \times p_{mature,a}","CatchAtAge"
"inst/include/models/functors/catch_at_age.hpp",509,523,"C++ source comment","Model","CalculateUnfishedSpawningBiomass","function","CatchAtAge",NA,"SB^U_y \mathrel{+}= N^U_{a,y} \times w_a \times p_{female,a} \times p_{mature,a}","CatchAtAge"
"inst/include/models/functors/catch_at_age.hpp",537,551,"C++ source comment","Model","CalculateSpawningBiomassRatio","function","CatchAtAge",NA,"\text{ratio}_y = \frac{SB_y}{SB^U_0}","CatchAtAge"
"inst/include/models/functors/catch_at_age.hpp",560,582,"C++ source comment","Model","CalculateSBPR0","function","CatchAtAge",NA,"N_A = \frac{N_{A-1} \times \exp(-M_{A-1})}{1 - \exp(-M_A)}","CatchAtAge"
"inst/include/models/functors/catch_at_age.hpp",560,582,"C++ source comment","Model","CalculateSBPR0","function","CatchAtAge",NA,"N_a = N_{a-1} \times \exp(-M_a) \quad \text{for } a = 1, \ldots, A-1","CatchAtAge"
"inst/include/models/functors/catch_at_age.hpp",560,582,"C++ source comment","Model","CalculateSBPR0","function","CatchAtAge",NA,"\phi_0 = \sum_{a=0}^{A} N_a \times p_{female,a} \times p_{mature,a} \times w_a","CatchAtAge"
"inst/include/models/functors/catch_at_age.hpp",615,637,"C++ source comment","Model","CalculateRecruitment","function","CatchAtAge",NA,"R_y = \begin{cases} f(SB_{y-1}, \phi_0), & \text{if } i_{dev} = n_{years} \\ \exp(g(y-1)), & \text{otherwise} \end{cases}","CatchAtAge"
"inst/include/models/functors/catch_at_age.hpp",667,679,"C++ source comment","Model","CalculateMaturityAA","function","CatchAtAge",NA,"p_{mature,a} = \text{maturity}(a)","CatchAtAge"
"inst/include/models/functors/catch_at_age.hpp",690,704,"C++ source comment","Model","CalculateCatch","function","CatchAtAge",NA,"CW_{f,y} \mathrel{+}= CW_{f,a,y}, \quad C_{f,y} \mathrel{+}= C_{f,a,y}","CatchAtAge"
"inst/include/models/functors/catch_at_age.hpp",727,744,"C++ source comment","Model","CalculateCatchWeightAA","function","CatchAtAge",NA,"CW_{f,a,y} = C_{f,a,y} \times w_a","CatchAtAge"
"inst/include/models/functors/catch_at_age.hpp",769,785,"C++ source comment","Model","CalculateCatchNumbersAA","function","CatchAtAge",NA,"C_{f,a,y} = \frac{F_{f,y} \times f_y \times S_f(a)}{Z_{a,y}} \times N_{a,y} \times \left( 1 - \exp(-Z_{a,y}) \right)","CatchAtAge"
"inst/include/models/functors/catch_at_age.hpp",807,823,"C++ source comment","Model","CalculateIndex","function","CatchAtAge",NA,"IW_{f,y} \mathrel{+}= IWAA_{a,y}, \quad IN_{f,y} \mathrel{+}= INAA_{a,y}","CatchAtAge"
"inst/include/models/functors/catch_at_age.hpp",836,854,"C++ source comment","Model","CalculateIndexNumbersAA","function","CatchAtAge",NA,"IN_{f,a,y} \mathrel{+}= S_{f,y}(a) \times N_{a,y} \times e^{(-t_{y}Z_{a,y})}","CatchAtAge"
"inst/include/models/functors/catch_at_age.hpp",836,854,"C++ source comment","Model","CalculateIndexNumbersAA","function","CatchAtAge",NA,"IN_{f,a,y} \mathrel{+}= q_{f,y} \times S_f(a) \times N_{a,y}","CatchAtAge"
"inst/include/models/functors/catch_at_age.hpp",873,889,"C++ source comment","Model","CalculateIndexWeightAA","function","CatchAtAge",NA,"IWAA_{f,a,y} = IN_{f,a,y} \times w_a","CatchAtAge"
"inst/include/distributions/functors/lognormal_lpdf.hpp",51,61,"C++ source comment","Distribution","evaluate","function","LogNormalLPDF","DlnormDistribution","f(x) = \frac{1.0}{ x\sigma\sqrt{2\pi} }\mathrm{exp}\Bigg(-\frac{(\mathrm{ln}(x) - \mu)^{2}}{2\sigma^{2}}\Bigg),","DlnormDistribution"
"inst/include/distributions/functors/multinomial_lpmf.hpp",51,61,"C++ source comment","Distribution","evaluate","function","MultinomialLPMF","DmultinomDistribution","f(\underline{y}) = \frac{n!}{y_{1}!... y_{k}!}p^{y_{1}}_{1}...p^{y_{k}}_{k},","DmultinomDistribution"
"inst/include/distributions/functors/normal_lpdf.hpp",49,58,"C++ source comment","Distribution","evaluate","function","NormalLPDF","DnormDistribution","f(x) = \frac{1}{\sigma\sqrt{2\pi}}\mathrm{exp}\Bigg(-\frac{(x-\mu)^2}{2\sigma^2} \Bigg),","DnormDistribution"
"inst/include/common/fims_math.hpp",280,298,"C++ source comment","Common math","double_logistic","function",NA,"double_logistic","\frac{1.0}{ 1.0 + exp(-1.0 * slope_{asc} (x - inflection_point_{asc}))} \left(1-\frac{1.0}{ 1.0 + exp(-1.0 * slope_{desc} (x - inflection_point_{desc}))} \right)","double_logistic"
